Reference, Value, Footprint, Datasheet
J2,INPUT,lib_psuno:JACK_AUDIO,
R1,1M,Discret:R3,
C1,0.1u,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
R2,1M,Discret:R3,
R3,4.7K,Discret:R3,
R8,100K,Discret:R3,
R7,100K,Discret:R3,
R4,4.7K,Discret:R3,
RV1,500K,lib_psuno:POT_LOG,
R5,100K,Discret:R3,
C4,270p,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
C3,4.7u,Capacitors_ThroughHole:C_Radial_D5_L11_P2.5,
C6,4.7uF,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
TP1,5V TP,Connect:PINTST,
TP3,2V5 TP,Connect:PINTST,
TP2,GND TP,Connect:PINTST,
R6,4.7K,Discret:R3,
SW1,SWITCH_3PDT,lib_psuno:3PDT_psuno,
D1,LED,LEDs:LED-3MM,
R9,4.7K,Discret:R3,
J1,OUTPUT,lib_psuno:JACK_AUDIO,
C10,4.7u,Capacitors_ThroughHole:C_Radial_D5_L11_P2,
SW2,SWITCH_INV,lib_psuno:SW_SPDT,
R10,4.7K,Discret:R3,
R11,1M2,Discret:R3,
C7,6.8n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
R12,4.7K,Discret:R3,
C8,6.8n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
R13,4.7K,Discret:R3,
C9,6.8n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
CONN1,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
CONN2,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
CONN3,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10,
CONN4,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
SW3,SW_PUSH,lib_psuno:push_buttom_psuno,
SW4,SW_PUSH,lib_psuno:push_buttom_psuno,
U1,TL972,Power_Integrations:PDIP-8,
C5,6.8n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
C2,6.8n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
C11,100n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
